path,filename,participant,statement,confidence_level,confidence_type,accuracy,free_cued_recall
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s48.wav,'S2_w02_t1_s48.wav',2,48.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s64.wav,'S2_w02_t1_s64.wav',2,64.0,60.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s08.wav,'S2_w02_t1_s08.wav',2,8.0,,,1,1
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s38.wav,'S2_w02_t1_s38.wav',2,38.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s67.wav,'S2_w02_t1_s67.wav',2,67.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s57.wav,'S2_w02_t1_s57.wav',2,57.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s27.wav,'S2_w02_t1_s27.wav',2,27.0,,,0,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s54.wav,'S2_w02_t1_s54.wav',2,54.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s69.wav,'S2_w02_t1_s69.wav',2,69.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s36.wav,'S2_w02_t1_s36.wav',2,36.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s76.wav,'S2_w02_t1_s76.wav',2,76.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s45.wav,'S2_w02_t1_s45.wav',2,45.0,20.0,1.0,0,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s03.wav,'S2_w02_t1_s03.wav',2,3.0,100.0,1.0,1,1
